ANSICpc,ANSICpcPlus1,ANSICpcPlus2,ANSIC1kpc,ANSIC1kPlus1,ANSIC1kPlus2,ANSIC10k,ANSIC10kPlus1,ANSIC10kPlus2,badLCG1k,badLCG1kPlus1
"404819958.000000 ",1422482523.000000,1239345002.000000,"133481034.000000 ",630917282.000000,786308634.000000,"354137490.000000 ","1967722951.000000 ","16616418.000000 ","37.000000 ","98.000000 "
"1422482523.000000 ",1239345002.000000,288599607.000000,"630917282.000000 ",786308634.000000,1972244087.000000,"1967722951.000000 ","16616418.000000 ","791335031.000000 ","98.000000 ","33.000000 "
"1239345002.000000 ",288599607.000000,654086014.000000,"786308634.000000 ",1972244087.000000,829824639.000000,"16616418.000000 ","791335031.000000 ","1229228082.000000 ","33.000000 ","41.000000 "
"288599607.000000 ",654086014.000000,330018291.000000,"1972244087.000000 ",829824639.000000,2005373079.000000,"791335031.000000 ","1229228082.000000 ","1002686759.000000 ","41.000000 ","54.000000 "
"654086014.000000 ",330018291.000000,459568434.000000,"829824639.000000 ",2005373079.000000,432252018.000000,"1229228082.000000 ","1002686759.000000 ","1411246722.000000 ","54.000000 ","12.000000 "
"330018291.000000 ",459568434.000000,400130703.000000,"2005373079.000000 ",432252018.000000,2048218498.000000,"1002686759.000000 ","1411246722.000000 ","2088418263.000000 ","12.000000 ","70.000000 "
"459568434.000000 ",400130703.000000,958246278.000000,"432252018.000000 ",2048218498.000000,2114463495.000000,"1411246722.000000 ","2088418263.000000 ","2110714578.000000 ","70.000000 ","38.000000 "
"400130703.000000 ",958246278.000000,377113355.000000,"2048218498.000000 ",2114463495.000000,1461761842.000000,"2088418263.000000 ","2110714578.000000 ","1713268871.000000 ","38.000000 ","87.000000 "
"958246278.000000 ",377113355.000000,827012474.000000,"2114463495.000000 ",1461761842.000000,175565079.000000,"2110714578.000000 ","1713268871.000000 ","498393378.000000 ","87.000000 ","53.000000 "
"377113355.000000 ",827012474.000000,269868647.000000,"1461761842.000000 ",175565079.000000,976742410.000000,"1713268871.000000 ","498393378.000000 ","1273335607.000000 ","53.000000 ","23.000000 "
"827012474.000000 ",269868647.000000,947204622.000000,"175565079.000000 ",976742410.000000,1441771455.000000,"498393378.000000 ","1273335607.000000 ","1799681394.000000 ","23.000000 ","50.000000 "
"269868647.000000 ",947204622.000000,1431473059.000000,"976742410.000000 ",1441771455.000000,850538047.000000,"1273335607.000000 ","1799681394.000000 ","1248784359.000000 ","50.000000 ","56.000000 "
"947204622.000000 ",1431473059.000000,2129408066.000000,"1441771455.000000 ",850538047.000000,621134698.000000,"1799681394.000000 ","1248784359.000000 ","1124888514.000000 ","56.000000 ","91.000000 "
"1431473059.000000 ",2129408066.000000,358013375.000000,"850538047.000000 ",621134698.000000,160118775.000000,"1248784359.000000 ","1124888514.000000 ","1388399255.000000 ","91.000000 ","9.000000 "
"2129408066.000000 ",358013375.000000,1083598102.000000,"621134698.000000 ",160118775.000000,2038285023.000000,"1124888514.000000 ","1388399255.000000 ","1269862418.000000 ","9.000000 ","2.000000 "
"358013375.000000 ",1083598102.000000,2049525691.000000,"160118775.000000 ",2038285023.000000,1923289890.000000,"1388399255.000000 ","1269862418.000000 ","1431002951.000000 ","2.000000 ","79.000000 "
"1083598102.000000 ",2049525691.000000,1039592842.000000,"2038285023.000000 ",1923289890.000000,1425510306.000000,"1269862418.000000 ","1431002951.000000 ","2062456418.000000 ","79.000000 ","40.000000 "
"2049525691.000000 ",1039592842.000000,1987972247.000000,"1923289890.000000 ",1425510306.000000,14343.000000,"1431002951.000000 ","2062456418.000000 ","216264183.000000 ","40.000000 ","65.000000 "
"1039592842.000000 ",1987972247.000000,1388252830.000000,"1425510306.000000 ",14343.000000,1516231143.000000,"2062456418.000000 ","216264183.000000 ","2057028274.000000 ","65.000000 ","93.000000 "
"1987972247.000000 ",1388252830.000000,2145572691.000000,"14343.000000 ",1516231143.000000,950641311.000000,"216264183.000000 ","2057028274.000000 ","1774827175.000000 ","93.000000 ","88.000000 "
"1388252830.000000 ",2145572691.000000,1958311250.000000,"1516231143.000000 ",950641311.000000,51083562.000000,"2057028274.000000 ","1774827175.000000 ","1839551746.000000 ","88.000000 ","42.000000 "
"2145572691.000000 ",1958311250.000000,599297775.000000,"950641311.000000 ",51083562.000000,1431480338.000000,"1774827175.000000 ","1839551746.000000 ","480475479.000000 ","42.000000 ","43.000000 "
"1958311250.000000 ",599297775.000000,1348433574.000000,"51083562.000000 ",1431480338.000000,1932420943.000000,"1839551746.000000 ","480475479.000000 ","353406290.000000 ","43.000000 ","32.000000 "
"599297775.000000 ",1348433574.000000,350949995.000000,"1431480338.000000 ",1932420943.000000,1290276586.000000,"480475479.000000 ","353406290.000000 ","1098905095.000000 ","32.000000 ","52.000000 "
"1348433574.000000 ",350949995.000000,384323482.000000,"1932420943.000000 ",1290276586.000000,590506567.000000,"353406290.000000 ","1098905095.000000 ","1425714082.000000 ","52.000000 ","34.000000 "
"350949995.000000 ",384323482.000000,1540815047.000000,"1290276586.000000 ",590506567.000000,515831786.000000,"1098905095.000000 ","1425714082.000000 ","718662839.000000 ","34.000000 ","30.000000 "
"384323482.000000 ",1540815047.000000,69362990.000000,"590506567.000000 ",515831786.000000,912200503.000000,"1425714082.000000 ","718662839.000000 ","429453298.000000 ","30.000000 ","74.000000 "
"1540815047.000000 ",69362990.000000,424497411.000000,"515831786.000000 ",912200503.000000,1372617866.000000,"718662839.000000 ","429453298.000000 ","1283726695.000000 ","74.000000 ","95.000000 "
"69362990.000000 ",424497411.000000,1223066722.000000,"912200503.000000 ",1372617866.000000,1505553226.000000,"429453298.000000 ","1283726695.000000 ","473471554.000000 ","95.000000 ","66.000000 "
"424497411.000000 ",1223066722.000000,824533535.000000,"1372617866.000000 ",1505553226.000000,622707231.000000,"1283726695.000000 ","473471554.000000 ","1188120599.000000 ","66.000000 ","82.000000 "
"1223066722.000000 ",824533535.000000,24453686.000000,"1505553226.000000 ",622707231.000000,1182478351.000000,"473471554.000000 ","1188120599.000000 ","138341010.000000 ","82.000000 ","7.000000 "
"824533535.000000 ",24453686.000000,273443611.000000,"622707231.000000 ",1182478351.000000,1515651730.000000,"1188120599.000000 ","138341010.000000 ","292302023.000000 ","7.000000 ","24.000000 "
"24453686.000000 ",273443611.000000,1301126058.000000,"1182478351.000000 ",1515651730.000000,2043030743.000000,"138341010.000000 ","292302023.000000 ","2695394.000000 ","24.000000 ","39.000000 "
"273443611.000000 ",1301126058.000000,2109956855.000000,"1515651730.000000 ",2043030743.000000,2090525026.000000,"292302023.000000 ","2695394.000000 ","1181453175.000000 ","39.000000 ","76.000000 "
"1301126058.000000 ",2109956855.000000,579827134.000000,"2043030743.000000 ",2090525026.000000,1193249826.000000,"2695394.000000 ","1181453175.000000 ","42761522.000000 ","76.000000 ","73.000000 "
"2109956855.000000 ",579827134.000000,1568323763.000000,"2090525026.000000 ",1193249826.000000,1497950042.000000,"1181453175.000000 ","42761522.000000 ","223224871.000000 ","73.000000 ","5.000000 "
"579827134.000000 ",1568323763.000000,645242226.000000,"1193249826.000000 ",1497950042.000000,1880841794.000000,"42761522.000000 ","223224871.000000 ","789987202.000000 ","5.000000 ","46.000000 "
"1568323763.000000 ",645242226.000000,1601966927.000000,"1497950042.000000 ",1880841794.000000,203163879.000000,"223224871.000000 ","789987202.000000 ","637187799.000000 ","46.000000 ","100.000000 "
"645242226.000000 ",1601966927.000000,1828431814.000000,"1880841794.000000 ",203163879.000000,701881815.000000,"789987202.000000 ","637187799.000000 ","1804314578.000000 ","100.000000 ","11.000000 "
"1601966927.000000 ",1828431814.000000,626135499.000000,"203163879.000000 ",701881815.000000,1353521562.000000,"637187799.000000 ","1804314578.000000 ","331350919.000000 ","11.000000 ","81.000000 "
"1828431814.000000 ",626135499.000000,1857884602.000000,"701881815.000000 ",1353521562.000000,1097264554.000000,"1804314578.000000 ","331350919.000000 ","1758066210.000000 ","81.000000 ","18.000000 "
"626135499.000000 ",1857884602.000000,1394477863.000000,"1353521562.000000 ",1097264554.000000,1150693055.000000,"331350919.000000 ","1758066210.000000 ","1750387255.000000 ","18.000000 ","4.000000 "
"1857884602.000000 ",1394477863.000000,614367310.000000,"1097264554.000000 ",1150693055.000000,1044878618.000000,"1758066210.000000 ","1750387255.000000 ","130443890.000000 ","4.000000 ","57.000000 "
"1394477863.000000 ",614367310.000000,692833891.000000,"1150693055.000000 ",1044878618.000000,357430210.000000,"1750387255.000000 ","130443890.000000 ","785894119.000000 ","57.000000 ","80.000000 "
"614367310.000000 ",692833891.000000,2018574466.000000,"1044878618.000000 ",357430210.000000,808103743.000000,"130443890.000000 ","785894119.000000 ","512640194.000000 ","80.000000 ","29.000000 "
"692833891.000000 ",2018574466.000000,122905215.000000,"357430210.000000 ",808103743.000000,156698799.000000,"785894119.000000 ","512640194.000000 ","1993328023.000000 ","29.000000 ","85.000000 "
"2018574466.000000 ",122905215.000000,1430210390.000000,"808103743.000000 ",156698799.000000,73054466.000000,"512640194.000000 ","1993328023.000000 ","491177234.000000 ","85.000000 ","75.000000 "
"122905215.000000 ",1430210390.000000,2004403835.000000,"156698799.000000 ",73054466.000000,14341002.000000,"1993328023.000000 ","491177234.000000 ","2133555783.000000 ","75.000000 ","84.000000 "
"1430210390.000000 ",2004403835.000000,867496394.000000,"73054466.000000 ",14341002.000000,1321922650.000000,"491177234.000000 ","2133555783.000000 ","321727330.000000 ","84.000000 ","86.000000 "
"2004403835.000000 ",867496394.000000,2130293079.000000,"14341002.000000 ",1321922650.000000,726093807.000000,"2133555783.000000 ","321727330.000000 ","21080311.000000 ","86.000000 ","64.000000 "
"867496394.000000 ",2130293079.000000,445629662.000000,"1321922650.000000 ",726093807.000000,2060256199.000000,"321727330.000000 ","21080311.000000 ","328644530.000000 ","64.000000 ","3.000000 "
"2130293079.000000 ",445629662.000000,1167675923.000000,"726093807.000000 ",2060256199.000000,1647942327.000000,"21080311.000000 ","328644530.000000 ","466686375.000000 ","3.000000 ","68.000000 "
"445629662.000000 ",1167675923.000000,1783295378.000000,"2060256199.000000 ",1647942327.000000,1100276282.000000,"328644530.000000 ","466686375.000000 ","2062592514.000000 ","68.000000 ","60.000000 "
"1167675923.000000 ",1783295378.000000,452595631.000000,"1647942327.000000 ",1100276282.000000,1640366879.000000,"466686375.000000 ","2062592514.000000 ","1577088087.000000 ","60.000000 ","47.000000 "
"1783295378.000000 ",452595631.000000,1857306854.000000,"1100276282.000000 ",1640366879.000000,1400838191.000000,"2062592514.000000 ","1577088087.000000 ","331366994.000000 ","47.000000 ","89.000000 "
"452595631.000000 ",1857306854.000000,1337280811.000000,"1640366879.000000 ",1400838191.000000,502909618.000000,"1577088087.000000 ","331366994.000000 ","1918800135.000000 ","89.000000 ","31.000000 "
"1857306854.000000 ",1337280811.000000,1394310106.000000,"1400838191.000000 ",502909618.000000,755248090.000000,"331366994.000000 ","1918800135.000000 ","463650978.000000 ","31.000000 ","63.000000 "
"1337280811.000000 ",1394310106.000000,597759367.000000,"502909618.000000 ",755248090.000000,1823520559.000000,"1918800135.000000 ","463650978.000000 ","1776428983.000000 ","63.000000 ","14.000000 "
"1394310106.000000 ",597759367.000000,1196131182.000000,"755248090.000000 ",1823520559.000000,11211863.000000,"463650978.000000 ","1776428983.000000 ","676160754.000000 ","14.000000 ","48.000000 "
"597759367.000000 ",1196131182.000000,305398723.000000,"1823520559.000000 ",11211863.000000,906620362.000000,"1776428983.000000 ","676160754.000000 ","652867687.000000 ","48.000000 ","78.000000 "
"1196131182.000000 ",305398723.000000,169714850.000000,"11211863.000000 ",906620362.000000,1512105298.000000,"676160754.000000 ","652867687.000000 ","1821208386.000000 ","78.000000 ","51.000000 "
"305398723.000000 ",169714850.000000,1769396959.000000,"906620362.000000 ",1512105298.000000,1443350778.000000,"652867687.000000 ","1821208386.000000 ","1748812567.000000 ","51.000000 ","45.000000 "
"169714850.000000 ",1769396959.000000,1224135798.000000,"1512105298.000000 ",1443350778.000000,1406562738.000000,"1821208386.000000 ","1748812567.000000 ","1565007762.000000 ","45.000000 ","10.000000 "
"1769396959.000000 ",1224135798.000000,930372059.000000,"1443350778.000000 ",1406562738.000000,1009029386.000000,"1748812567.000000 ","1565007762.000000 ","1946765255.000000 ","10.000000 ","92.000000 "
"1224135798.000000 ",930372059.000000,1912532970.000000,"1406562738.000000 ",1009029386.000000,490054778.000000,"1565007762.000000 ","1946765255.000000 ","914011618.000000 ","92.000000 ","99.000000 "
"930372059.000000 ",1912532970.000000,362215351.000000,"1009029386.000000 ",490054778.000000,1000202794.000000,"1946765255.000000 ","914011618.000000 ","1659258487.000000 ","99.000000 ","22.000000 "
"1912532970.000000 ",362215351.000000,1499593726.000000,"490054778.000000 ",1000202794.000000,463245242.000000,"914011618.000000 ","1659258487.000000 ","1614443058.000000 ","22.000000 ","61.000000 "
"362215351.000000 ",1499593726.000000,283419507.000000,"1000202794.000000 ",463245242.000000,1918094631.000000,"1659258487.000000 ","1614443058.000000 ","181567271.000000 ","61.000000 ","36.000000 "
"1499593726.000000 ",283419507.000000,141256114.000000,"463245242.000000 ",1918094631.000000,2085947471.000000,"1614443058.000000 ","181567271.000000 ","867472514.000000 ","36.000000 ","8.000000 "
"283419507.000000 ",141256114.000000,1099465743.000000,"1918094631.000000 ",2085947471.000000,1626530719.000000,"181567271.000000 ","867472514.000000 ","171225559.000000 ","8.000000 ","13.000000 "
"141256114.000000 ",1099465743.000000,1472938502.000000,"2085947471.000000 ",1626530719.000000,945911759.000000,"867472514.000000 ","171225559.000000 ","539909330.000000 ","13.000000 ","59.000000 "
"1099465743.000000 ",1472938502.000000,1939519627.000000,"1626530719.000000 ",945911759.000000,1811873935.000000,"171225559.000000 ","539909330.000000 ","1926995591.000000 ","59.000000 ","58.000000 "
"1472938502.000000 ",1939519627.000000,886410746.000000,"945911759.000000 ",1811873935.000000,1665736162.000000,"539909330.000000 ","1926995591.000000 ","805636898.000000 ","58.000000 ","69.000000 "
"1939519627.000000 ",886410746.000000,1855330279.000000,"1811873935.000000 ",1665736162.000000,303149415.000000,"1926995591.000000 ","805636898.000000 ","352191799.000000 ","69.000000 ","49.000000 "
"886410746.000000 ",1855330279.000000,1141599886.000000,"1665736162.000000 ",303149415.000000,2045779823.000000,"805636898.000000 ","352191799.000000 ","1840111474.000000 ","49.000000 ","67.000000 "
"1855330279.000000 ",1141599886.000000,1349251363.000000,"303149415.000000 ",2045779823.000000,738952362.000000,"352191799.000000 ","1840111474.000000 ","1782228455.000000 ","67.000000 ","71.000000 "
"1141599886.000000 ",1349251363.000000,431911106.000000,"2045779823.000000 ",738952362.000000,1481217858.000000,"1840111474.000000 ","1782228455.000000 ","683022786.000000 ","71.000000 ","27.000000 "
"1349251363.000000 ",431911106.000000,1957022527.000000,"738952362.000000 ",1481217858.000000,1521290167.000000,"1782228455.000000 ","683022786.000000 ","546848919.000000 ","27.000000 ","6.000000 "
"431911106.000000 ",1957022527.000000,471714198.000000,"1481217858.000000 ",1521290167.000000,96248375.000000,"683022786.000000 ","546848919.000000 ","448985618.000000 ","6.000000 ","35.000000 "
"1957022527.000000 ",471714198.000000,1602561339.000000,"1521290167.000000 ",96248375.000000,868548178.000000,"546848919.000000 ","448985618.000000 ","1166382407.000000 ","35.000000 ","19.000000 "
"471714198.000000 ",1602561339.000000,2.000000,"96248375.000000 ",868548178.000000,809131519.000000,"448985618.000000 ","1166382407.000000 ","1821491298.000000 ","19.000000 ","94.000000 "
"1602561339.000000 ",2.000000,12543.000000,"868548178.000000 ",809131519.000000,1073024783.000000,"1166382407.000000 ","1821491298.000000 ","282682359.000000 ","94.000000 ","77.000000 "
"2.000000 ",12543.000000,1254102.000000,"809131519.000000 ",1073024783.000000,1080407463.000000,"1821491298.000000 ","282682359.000000 ","452439218.000000 ","77.000000 ","62.000000 "
"12543.000000 ",1254102.000000,124168443.000000,"1073024783.000000 ",1080407463.000000,191807895.000000,"282682359.000000 ","452439218.000000 ","1339190439.000000 ","62.000000 ","25.000000 "
"1254102.000000 ",124168443.000000,1555269962.000000,"1080407463.000000 ",191807895.000000,1765858951.000000,"452439218.000000 ","1339190439.000000 ","1004666626.000000 ","25.000000 ","28.000000 "
"124168443.000000 ",1555269962.000000,1500399575.000000,"191807895.000000 ",1765858951.000000,1803485295.000000,"1339190439.000000 ","1004666626.000000 ","1880584023.000000 ","28.000000 ","96.000000 "
"1555269962.000000 ",1500399575.000000,363198558.000000,"1765858951.000000 ",1803485295.000000,196501042.000000,"1004666626.000000 ","1880584023.000000 ","592836434.000000 ","96.000000 ","55.000000 "
"1500399575.000000 ",363198558.000000,1596931219.000000,"1803485295.000000 ",196501042.000000,181356279.000000,"1880584023.000000 ","592836434.000000 ","716647431.000000 ","55.000000 ","1.000000 "
"363198558.000000 ",1596931219.000000,1329896722.000000,"196501042.000000 ",181356279.000000,1457584967.000000,"592836434.000000 ","716647431.000000 ","1752225186.000000 ","1.000000 ","90.000000 "
"1596931219.000000 ",1329896722.000000,663285295.000000,"181356279.000000 ",1457584967.000000,307913895.000000,"716647431.000000 ","1752225186.000000 ","1328046775.000000 ","90.000000 ","20.000000 "
"1329896722.000000 ",663285295.000000,1240747110.000000,"1457584967.000000 ",307913895.000000,1715599346.000000,"1752225186.000000 ","1328046775.000000 ","1248319986.000000 ","20.000000 ","83.000000 "
"663285295.000000 ",1240747110.000000,427408299.000000,"307913895.000000 ",1715599346.000000,583528327.000000,"1328046775.000000 ","1248319986.000000 ","776590183.000000 ","83.000000 ","97.000000 "
"1240747110.000000 ",427408299.000000,1511244634.000000,"1715599346.000000 ",583528327.000000,1207426959.000000,"1248319986.000000 ","776590183.000000 ","1971864642.000000 ","97.000000 ","44.000000 "
"427408299.000000 ",1511244634.000000,1436859399.000000,"583528327.000000 ",1207426959.000000,164894930.000000,"776590183.000000 ","1971864642.000000 ","627195415.000000 ","44.000000 ","21.000000 "
"1511244634.000000 ",1436859399.000000,515172078.000000,"1207426959.000000 ",164894930.000000,39524042.000000,"1971864642.000000 ","627195415.000000 ","674714770.000000 ","21.000000 ","72.000000 "
"1436859399.000000 ",515172078.000000,1609924163.000000,"164894930.000000 ",39524042.000000,42026682.000000,"627195415.000000 ","674714770.000000 ","1226859207.000000 ","72.000000 ","16.000000 "
"515172078.000000 ",1609924163.000000,468714530.000000,"39524042.000000 ",42026682.000000,1575538930.000000,"674714770.000000 ","1226859207.000000 ","938625762.000000 ","16.000000 ","26.000000 "
"1609924163.000000 ",468714530.000000,1305594207.000000,"42026682.000000 ",1575538930.000000,871956343.000000,"1226859207.000000 ","938625762.000000 ","815464823.000000 ","26.000000 ","17.000000 "
"468714530.000000 ",1305594207.000000,404819958.000000,"1575538930.000000 ",871956343.000000,203579135.000000,"938625762.000000 ","815464823.000000 ","1984849714.000000 ","17.000000 ","15.000000 "
"1305594207.000000 ",404819958.000000,1422482523.000000,"871956343.000000 ",203579135.000000,1073668199.000000,"815464823.000000 ","1984849714.000000 ","1615911463.000000 ","15.000000 ","37.000000 "
"404819958.000000 ",1422482523.000000,1239345002.000000,"203579135.000000 ",1073668199.000000,1690806191.000000,"1984849714.000000 ","1615911463.000000 ","1979246978.000000 ","37.000000 ","98.000000 "
"1422482523.000000 ",1239345002.000000,288599607.000000,"1073668199.000000 ",1690806191.000000,1029350042.000000,"1615911463.000000 ","1979246978.000000 ","1428729047.000000 ","98.000000 ","33.000000 "
"1239345002.000000 ",288599607.000000,654086014.000000,"1690806191.000000 ",1029350042.000000,66138578.000000,"1979246978.000000 ","1428729047.000000 ","800526802.000000 ","33.000000 ","41.000000 "
"288599607.000000 ",654086014.000000,330018291.000000,"1029350042.000000 ",66138578.000000,1912958330.000000,"1428729047.000000 ","800526802.000000 ","795949447.000000 ","41.000000 ","54.000000 "
"654086014.000000 ",330018291.000000,459568434.000000,"66138578.000000 ",1912958330.000000,1662858458.000000,"800526802.000000 ","795949447.000000 ","124133410.000000 ","54.000000 ","12.000000 "
"330018291.000000 ",459568434.000000,400130703.000000,"1912958330.000000 ",1662858458.000000,1190751983.000000,"795949447.000000 ","124133410.000000 ","2111914039.000000 ","12.000000 ","70.000000 "
,,,"1662858458.000000 ",1190751983.000000,2002786018.000000,"124133410.000000 ","2111914039.000000 ","821777522.000000 ","70.000000 ","38.000000 "
,,,"1190751983.000000 ",2002786018.000000,1475968039.000000,"2111914039.000000 ","821777522.000000 ","681017575.000000 ","38.000000 ","87.000000 "
,,,"2002786018.000000 ",1475968039.000000,1318300778.000000,"821777522.000000 ","681017575.000000 ","1971580610.000000 ","87.000000 ","53.000000 "
,,,"1475968039.000000 ",1318300778.000000,575013343.000000,"681017575.000000 ","1971580610.000000 ","2082126743.000000 ","53.000000 ","23.000000 "
,,,"1318300778.000000 ",575013343.000000,1060207986.000000,"1971580610.000000 ","2082126743.000000 ","1478831890.000000 ","23.000000 ","50.000000 "
,,,"575013343.000000 ",1060207986.000000,438351895.000000,"2082126743.000000 ","1478831890.000000 ","1415163975.000000 ","50.000000 ","56.000000 "
,,,"1060207986.000000 ",438351895.000000,1974374906.000000,"1478831890.000000 ","1415163975.000000 ","454841698.000000 ","56.000000 ","91.000000 "
,,,"438351895.000000 ",1974374906.000000,1010554575.000000,"1415163975.000000 ","454841698.000000 ","1739267831.000000 ","91.000000 ","9.000000 "
,,,"1974374906.000000 ",1010554575.000000,226718210.000000,"454841698.000000 ","1739267831.000000 ","616473010.000000 ","9.000000 ","2.000000 "
,,,"1010554575.000000 ",226718210.000000,1005721095.000000,"1739267831.000000 ","616473010.000000 ","835569575.000000 ","2.000000 ","79.000000 "
,,,"226718210.000000 ",1005721095.000000,1840522634.000000,"616473010.000000 ","835569575.000000 ","1148802050.000000 ","79.000000 ","40.000000 "
,,,"1005721095.000000 ",1840522634.000000,436121023.000000,"835569575.000000 ","1148802050.000000 ","2129160791.000000 ","40.000000 ","65.000000 "
,,,"1840522634.000000 ",436121023.000000,1893217426.000000,"1148802050.000000 ","2129160791.000000 ","1473358930.000000 ","65.000000 ","93.000000 "
,,,"436121023.000000 ",1893217426.000000,1538610679.000000,"2129160791.000000 ","1473358930.000000 ","378128135.000000 ","93.000000 ","88.000000 "
,,,"1893217426.000000 ",1538610679.000000,1621272346.000000,"1473358930.000000 ","378128135.000000 ","1332013730.000000 ","88.000000 ","42.000000 "
,,,"1538610679.000000 ",1621272346.000000,448415407.000000,"378128135.000000 ","1332013730.000000 ","111713719.000000 ","42.000000 ","43.000000 "
,,,"1621272346.000000 ",448415407.000000,1290405154.000000,"1332013730.000000 ","111713719.000000 ","333991666.000000 ","43.000000 ","32.000000 "
,,,"448415407.000000 ",1290405154.000000,624572391.000000,"111713719.000000 ","333991666.000000 ","245608039.000000 ","32.000000 ","52.000000 "
,,,"1290405154.000000 ",624572391.000000,1177573034.000000,"333991666.000000 ","245608039.000000 ","1260984642.000000 ","52.000000 ","34.000000 "
,,,"624572391.000000 ",1177573034.000000,1721917855.000000,"245608039.000000 ","1260984642.000000 ","708950295.000000 ","34.000000 ","30.000000 "
,,,"1177573034.000000 ",1721917855.000000,61547442.000000,"1260984642.000000 ","708950295.000000 ","2097973650.000000 ","30.000000 ","74.000000 "
,,,"1721917855.000000 ",61547442.000000,1356364759.000000,"708950295.000000 ","2097973650.000000 ","1018265031.000000 ","74.000000 ","95.000000 "
,,,"61547442.000000 ",1356364759.000000,2093708346.000000,"2097973650.000000 ","1018265031.000000 ","412082146.000000 ","95.000000 ","66.000000 "
,,,"1356364759.000000 ",2093708346.000000,2113060495.000000,"1018265031.000000 ","412082146.000000 ","1535753335.000000 ","66.000000 ","82.000000 "
,,,"2093708346.000000 ",2113060495.000000,2118504514.000000,"412082146.000000 ","1535753335.000000 ","1489525810.000000 ","82.000000 ","7.000000 "
,,,"2113060495.000000 ",2118504514.000000,1114628551.000000,"1535753335.000000 ","1489525810.000000 ","969487655.000000 ","7.000000 ","24.000000 "
,,,"2118504514.000000 ",1114628551.000000,1117405130.000000,"1489525810.000000 ","969487655.000000 ","165887618.000000 ","24.000000 ","39.000000 "
,,,"1114628551.000000 ",1117405130.000000,1743723903.000000,"969487655.000000 ","165887618.000000 ","852928471.000000 ","39.000000 ","76.000000 "
,,,"1117405130.000000 ",1743723903.000000,370952914.000000,"165887618.000000 ","852928471.000000 ","774227666.000000 ","76.000000 ","73.000000 "
,,,"1743723903.000000 ",370952914.000000,1214785975.000000,"852928471.000000 ","774227666.000000 ","1971377287.000000 ","73.000000 ","5.000000 "
,,,"370952914.000000 ",1214785975.000000,242940250.000000,"774227666.000000 ","1971377287.000000 ","49100066.000000 ","5.000000 ","46.000000 "
,,,"1214785975.000000 ",242940250.000000,31669871.000000,"1971377287.000000 ","49100066.000000 ","1325300535.000000 ","46.000000 ","100.000000 "
,,,"242940250.000000 ",31669871.000000,1573442402.000000,"49100066.000000 ","1325300535.000000 ","1705953650.000000 ","100.000000 ","11.000000 "
,,,"31669871.000000 ",1573442402.000000,2058425255.000000,"1325300535.000000 ","1705953650.000000 ","367942631.000000 ","11.000000 ","81.000000 "
,,,"1573442402.000000 ",2058425255.000000,1224990954.000000,"1705953650.000000 ","367942631.000000 ","418890690.000000 ","81.000000 ","18.000000 "
,,,"2058425255.000000 ",1224990954.000000,1847779679.000000,"367942631.000000 ","418890690.000000 ","894908055.000000 ","18.000000 ","4.000000 "
,,,"1224990954.000000 ",1847779679.000000,1243458034.000000,"418890690.000000 ","894908055.000000 ","1768776722.000000 ","4.000000 ","57.000000 "
